context
"Filename: TG Booklet 3, Paragraph(s) Number: 509, Content: Training key members of PHEMC and Public Health Emergency Rapid Response Teams (PHERRT)"
"Filename: TG Booklet 3, Paragraph(s) Number: 510, Content: In addition, having a public health emergency preparedness and response plan (PHEPRP) is crucial. The PHEPRP should include the layout of the coordinating structure, the mapping of risks and how to address and maintain the emergency response plan for relevant events, including the capacity to support operations at primary response level during a public health emergency. The EPR is the overarching plan and should be complemented by a PHEOC plan and event or incident specific plans (ISP). The PHEOC plan guides the operations of the command and coordination centre, outlining standard operating procedures of how each functional area operate and work together; and the ISP is a plan developed to address high priority emergency event based on risk analysis and is always annexed to the EPR plan. "
"Filename: TG Booklet 3, Paragraph(s) Number: 511, Content: 5.1 Establish a permanent public health emergency operations centre (command and control centre) for overseeing public health emergency preparedness and response activities"
"Filename: TG Booklet 3, Paragraph(s) Number: 512, Content: Response to Public Health events is successful if there is a more, coherent, effective and efficient coordination of various actors representing a multi-sectoral team in the context of one heath. This will also ultimately result in minimising the impact of the event in the community. The International Health Regulations (IHR 2005) requires that State Parties develop, strengthen and maintain their capacity to respond promptly and effectively to public health risks and public health emergencies. "
"Filename: TG Booklet 3, Paragraph(s) Number: 513, Content: Malawi has PHEOC that acts as a command and control centre to enhance coordination and oversees public health emergency preparedness and response activities. "
"Filename: TG Booklet 3, Paragraph(s) Number: 514, Content: The PHEOC will need to have the following essential elements to be fully functional to support preparation and response to emergencies:"
"Filename: TG Booklet 3, Paragraph(s) Number: 515, Content: Plans and procedures for operations"
"Filename: TG Booklet 3, Paragraph(s) Number: 516, Content: Telecommunication technology and infrastructure to enable timely communication"
"Filename: TG Booklet 3, Paragraph(s) Number: 517, Content: Information system to support informed decision making"
"Filename: TG Booklet 3, Paragraph(s) Number: 518, Content: Trained human resource. "
"Filename: TG Booklet 3, Paragraph(s) Number: 519, Content: The PHEOC monitors events using various sources of data; facilitates and improves communication between public health and emergency management personnel, and facilitates coordination with multiple response partners. The PHEOC feeds into the National Disaster Risk Management EOC to manage escalated events of national magnitude. It is highly recommended that the PHEOC is positioned at the national and district levels where there are already structures mandating the coordination for public health emergencies. At national level, the PHEOC is placed at PHIM which is answerable to the Secretary for Health.  At district level, it is located at the office of the DHSS who is answerable to the District Commissioner."
"Filename: TG Booklet 3, Paragraph(s) Number: 520, Content: During public health emergencies, the PHEOC, which is the command and control centre, guided by the National PHEMC is activated and functions as a centre for decision-making, and coordination of information and resources for strategic management of public health events and emergencies. The PHEOC uses the Incident Management System (IMS), which is a standardized approach used to manage and coordinate the response by providing a common hierarchy for response by staff. In the context of IDSR, the IMS is represented by Public Health Emergency Management Committee (PHEMC) at strategic level, which will assemble during activation of PHEOC; as well as the National Public Health Emergency Management subcommittees. The IMS outlines the specific roles and responsibilities of responders during an event, while providing a common framework for government, the private sector, and non-governmental organizations to work seamlessly together. In IMS, each person is assigned a specific role and follows a set command structure. It can be staffed with additional teams of subject matter experts, analysts, logisticians, and support staff depending on the situation at that particular time. The operational structure of PHEOC (Command and Control centre) can also be scaled up, which is essential for maintaining the effectiveness of a PHEOC and it can be modular (i.e. can be partially or fully activated) according to situational needs. (Please refer to WHO Framework for a Public Health Emergency Operation Centre)"
"Filename: TG Booklet 3, Paragraph(s) Number: 521, Content: Most importantly, IMS should be functional at all levels of the health system delivery (national, district and health facilities). It is important once the IMS is activated during public health emergencies, the PHEMC regularly meet (at least daily or weekly) to facilitate coordination, communication and information sharing and put in place containment measures and at the same time facilitate the deployment of the PHERRT.  During activation, the PHEOC will also help in the flow of information horizontally and vertically to the respective departments, relevant sectors and partners for smoother relief operations. "
"Filename: TG Booklet 3, Paragraph(s) Number: 522, Content: Having a centre for command and control is essential for preparedness and response to public health events. If resources allow, districts will need to have PHEOCs, with basic facilities that support direct coordination of preparedness and response to public health emergencies and facilitate real time communication and information between various stakeholders at their levels, but also ensuring there is a mechanism of sharing information with the national level PHEOC. At district level, the PHERRT performs the roles of PHEOC.  "
"Filename: TG Booklet 3, Paragraph(s) Number: 523, Content: When inactive, the PHEOC (Command and Control centre), usually reduces in size, respective members under various Public Health Emergency Response Management Subcommittees return to respective working stations. The few staff remaining at the centre will then liaise with respective sections or departments to continue with maintaining plans and procedures, conducting trainings and simulation exercises, routine and event based surveillance activities, as well as maintaining systematic database of the resources available, important phone numbers, names and addresses of important government and non-government officials, international bodies and NGOs."
"Filename: TG Booklet 3, Paragraph(s) Number: 524, Content: 5.2 Establish a national and district public health emergency management committee (PHEMC)"
"Filename: TG Booklet 3, Paragraph(s) Number: 525, Content: Public health emergency management committee (PHEMC) should be established at both levels; national and district. The PHEMC across all levels should work closely with their counterparts to plan and monitor the implementation of public health emergency plans. These are the coordinating committees in their respective levels and are composed of technical and non-technical members from health and other sectors. The role of the PHEMC is to develop and oversee the implementation of emergency preparedness and response plan. "
"Filename: TG Booklet 3, Paragraph(s) Number: 526, Content: The PHEMC can also be known as a policy group. At national level, the PHEMC will provide policy direction in the implementation and operation of the national PHEOC and will also provide an oversight, policy and strategic guidance in the implementation of functional PHEOCs or similar coordination structures or mechanism at district level. "
"Filename: TG Booklet 3, Paragraph(s) Number: 527, Content: The PHEMC will also mobilise funds for PHEOC development and sustainability. The PHEMC will provide oversight for PHEOC operations and, in the absence of pre-established mutual aid arrangements with other jurisdictions, it may also be the authority that handles requests for external material or financial assistance, particularly in complex, multi-sectoral or multijurisdictional emergencies."
"Filename: TG Booklet 3, Paragraph(s) Number: 528, Content: 5.2.1 Functions of PHEMC"
"Filename: TG Booklet 3, Paragraph(s) Number: 529, Content: Ensure coordination and integration of surveillance and response activities across all levels "
"Filename: TG Booklet 3, Paragraph(s) Number: 530, Content: Develop a national/district emergency preparedness and response plan to manage all potential emergencies including disease outbreaks and detection of other emerging public health events or hazards; and clearly stipulate surge capacity to respond to public health emergency at district or national level"
"Filename: TG Booklet 3, Paragraph(s) Number: 531, Content: Map resources available both human and material; experts, logistics including distribution, finance etc. "
"Filename: TG Booklet 3, Paragraph(s) Number: 532, Content: Periodically review and update the plan in response to any changes in technical, managerial or epidemiological situation or any other risk identified."
"Filename: TG Booklet 3, Paragraph(s) Number: 533, Content: Liaise with Department of Disaster Management Affairs (DoDMA to ensure a multi-sectoral preparedness and response. "
"Filename: TG Booklet 3, Paragraph(s) Number: 534, Content: Establish a community communications plan for sharing information with communities before, during, and after any public health emergency. The plan should include mapping of all communication channels-community radio, data on cellular and internet penetration, NGO/FBO networks, prearranged agreements with cellular companies, other platforms (women's groups etc.) that can be leveraged for reaching the public.  The plan should also include liaison activities with relevant partners in multiple sectors including Points of Entry and other required reporting sites."
"Filename: TG Booklet 3, Paragraph(s) Number: 535, Content: Coordinate community risk mapping activities within the district and ensure all reporting sites are aware of the use of thresholds for reporting acute outbreaks or events."
"Filename: TG Booklet 3, Paragraph(s) Number: 536, Content: Identify and mobilize resources for emergency prevention and control including procurement of response and communication supplies. There should also be a mechanism to monitor the use of the resources before, during and after the emergency event."
"Filename: TG Booklet 3, Paragraph(s) Number: 537, Content: Ensure emergency material stockpiles within the district/regional/national are monitored, procured and updated regularly."
"Filename: TG Booklet 3, Paragraph(s) Number: 538, Content: Enhance linkages with Community Based Surveillance Focal persons to ensure flow of data for early detection of public health events."
"Filename: TG Booklet 3, Paragraph(s) Number: 539, Content: Coordinate training of community, health facility, and district/national personnel in emergency preparedness and response."
"Filename: TG Booklet 3, Paragraph(s) Number: 540, Content: Ensure that there is periodic organization of emergency response simulation activities at the national, district and community levels."
"Filename: TG Booklet 3, Paragraph(s) Number: 541, Content: Coordinate the post-emergency evaluation and plan to disseminate findings with the affected communities."
"Filename: TG Booklet 3, Paragraph(s) Number: 542, Content: Ensure provision of efficient administrative and financial management support including human resource; cash flow by estimating, tracking and approving response-related expenditure; monitors and coordinates funding from all sources"
"Filename: TG Booklet 3, Paragraph(s) Number: 543, Content: Ensure the facility communication technology and information system is ready to support any type of emergency"
"Filename: TG Booklet 3, Paragraph(s) Number: 544, Content: During, public health emergencies, the PHEMC, at National level, will oversee the activation of the National PHEOC and at district level, they will activate a similar coordination structure. There will also be an activation of the IMS structure i.e. formation of Public Health Emergency Management Subcommittees and the deployment of the Rapid Response Teams."
"Filename: TG Booklet 3, Paragraph(s) Number: 545, Content: During non-public health emergencies periods, regular meetings should be held to strengthen preparedness capacity (e.g. training health care workers)"
"Filename: TG Booklet 3, Paragraph(s) Number: 546, Content: 5.2.2 Identify members of the Public Health Emergency Management Committees (PHEMC)"
"Filename: TG Booklet 3, Paragraph(s) Number: 547, Content: Organize the PHEMC to include a mix of representatives from the public, non-governmental organizations (NGO) and private sectors to match the functions listed above. For example, in the district level committee, participants from the public sector may include:"
"Filename: TG Booklet 3, Paragraph(s) Number: 548, Content: District Commissioner"
"Filename: TG Booklet 3, Paragraph(s) Number: 549, Content: Officer-In-charge for Police"
"Filename: TG Booklet 3, Paragraph(s) Number: 550, Content: Mayor/Council chairperson"
"Filename: TG Booklet 3, Paragraph(s) Number: 551, Content: Director of Health and Social Services "
"Filename: TG Booklet 3, Paragraph(s) Number: 552, Content: District Medical Officer "
"Filename: TG Booklet 3, Paragraph(s) Number: 553, Content: District Animal Health and Livestock Development Officer "
"Filename: TG Booklet 3, Paragraph(s) Number: 554, Content: Director of Agriculture and Natural resources"
"Filename: TG Booklet 3, Paragraph(s) Number: 555, Content: District Nursing Officer"
"Filename: TG Booklet 3, Paragraph(s) Number: 556, Content: District Disease Control Officer or IDSR Coordinator"
"Filename: TG Booklet 3, Paragraph(s) Number: 557, Content: District Environmental Health Officer "
"Filename: TG Booklet 3, Paragraph(s) Number: 558, Content: Director of Education"
